summary; no; steps; expectedresult
"Charge Fee - Disc Item - Berhasil Printout Surcharge Include PPN";"1";"Buat FSO dengan pelanggan kena charge fee dan berisi disc item";"FSO berisi disc item dan charge fee berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih Template Print Out Surcharge Include PPN dari dropdown";"Berhasil memilih template print out surcharge include PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: 0\n- Total di printout inc PPN dengan printout exc PPN Balance"
"Charge Fee - Disc Item - Berhasil Printout Surcharge Exclude PPN";"1";"Buat FSO dengan pelanggan kena charge fee dan berisi disc item";"FSO berisi disc item dan charge fee berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih Template Print Out Surcharge Exclude PPN";"Berhasil memilih template print out surcharge exclude PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: 0\n- PPN 11%\n- Total di printout inc PPN dengan printout exc PPN Balance"
"Charge Fee - Disc Faktur- Berhasil Printout Surcharge Include PPN";"1";"Buat FSO dengan pelanggan kena charge fee dan berisi disc faktur";"FSO berisi disc faktur dan charge fee berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih Template Print Out Surcharge Include PPN";"Berhasil memilih template print out surcharge include PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: Diskon Faktur\n- Total di printout inc PPN dengan printout exc PPN Balance"
"Charge Fee - Disc Faktur- Berhasil Printout Surcharge Exclude PPN";"1";"Buat FSO dengan pelanggan kena charge fee dan berisi disc faktur";"FSO berisi disc faktur dan charge fee berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih Template Print Out Surcharge Exclude PPN";"Berhasil memilih template print out surcharge exclude PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: Diskon Faktur \n- PPN 11%\n- Total di printout inc PPN dengan printout exc PPN Balance"
